All Apps,Game Console,Programming Console,Work Console
Adobe Acrobat DC.lnk,Battle.net.lnk,Printrun-Win-Slic3r-03Feb2015,Work
Adobe Creative Cloud.lnk,Call of Duty Modern Warfare.lnk,Programming,Excel 2016.lnk
Battle.net.lnk,Discord.lnk,sldim,Firefox.lnk
Call of Duty Modern Warfare.lnk,Epic Games Launcher.lnk,Adobe Acrobat DC.lnk,Game Console.lnk
Discord.lnk,Firefox.lnk,Adobe Creative Cloud.lnk,Google Chrome.lnk
eDrawings 2019 x64 Edition.lnk,Google Chrome.lnk,eDrawings 2019 x64 Edition.lnk,Microsoft Edge.lnk
Epic Games Launcher.lnk,Microsoft Edge.lnk,Firefox.lnk,Microsoft Teams.lnk
Excel 2016.lnk,Minecraft Launcher.lnk,Game Console.lnk,OneNote 2016.lnk
Firefox.lnk,Programming Console.lnk,Google Chrome.lnk,Outlook 2016.lnk
Game Console.lnk,Work Console.lnk,Microsoft Edge.lnk,Programming Console.lnk
Google Chrome.lnk,,Photoshop.lnk,Spotify.lnk
Microsoft Edge.lnk,,PyCharm Community Edition 2020.1.1 x64.lnk,Word 2016.lnk
Microsoft Teams.lnk,,setup.exe,
Minecraft Launcher.lnk,,SOLIDWORKS 2019.lnk,
OneNote 2016.lnk,,SOLIDWORKS Composer 2019.lnk,
Outlook 2016.lnk,,SOLIDWORKS Composer Player 2019.lnk,
Photoshop.lnk,,SOLIDWORKS Electrical.lnk,
Printrun-Win-Slic3r-03Feb2015,,SOLIDWORKS Visualize 2019.lnk,
Programming,,Spotify.lnk,
Programming Console.lnk,,VMware Workstation Pro.lnk,
PyCharm Community Edition 2020.1.1 x64.lnk,,Work Console.lnk,
Rockstar Games Launcher.lnk,,,
setup.exe,,,
sldim,,,
SOLIDWORKS 2019.lnk,,,
SOLIDWORKS Composer 2019.lnk,,,
SOLIDWORKS Composer Player 2019.lnk,,,
SOLIDWORKS Electrical.lnk,,,
SOLIDWORKS Visualize 2019.lnk,,,
Spotify.lnk,,,
Steam.exe,,,
VMware Workstation Pro.lnk,,,
Word 2016.lnk,,,
Work,,,
Work Console.lnk,,,
Rockstar Games Launcher.lnk,,,
Spotify.lnk,,,
Steam.exe,,,
Rockstar Games Launcher.lnk
Spotify.lnk
Steam.exe
,Rockstar Games Launcher.lnk
,Spotify.lnk
,Steam.exe
